"","Region","District","FacilityName","Type","Town","Ownership","Latitude","Longitude","newColumn + 42","newColumn"
"1","Ashanti","Offinso North","A.M.E Zion Clinic","Clinic","Afrancho","CHAG",7.40801,-1.96317,49.40801,49.40801
"2","Ashanti","Bekwai Municipal","Abenkyiman Clinic","Clinic","Anwiankwanta","Private",6.46312,-1.58592,48.46312,48.46312
"3","Ashanti","Adansi North","Aboabo Health Centre","Health Centre","Aboabo No 2","Government",6.22393,-1.34982,48.22393,48.22393
"4","Ashanti","Afigya-Kwabre","Aboabogya Health Centre","Health Centre","Aboabogya","Government",6.84177,-1.61098,48.84177,48.84177
"5","Ashanti","Kwabre","Aboaso Health Centre","Health Centre","Aboaso","Government",6.84177,-1.61098,48.84177,48.84177
"6","Ashanti","Offinso North","Aboffour Health Centre","Health Centre","Aboffour","Government",7.12986,-1.73294,49.12986,49.12986
"7","Ashanti","Atwima-Nwabiagya","Abuakwa Maternity Home","Maternity Home","Abuakwa","Private",7,-2,49,49
"8","Ashanti","Atwima-Kwanwoma","Aburaso Methodist clinic","Clinic","Aburaso","CHAG",6.66133,-1.67662,48.66133,48.66133
"9","Ashanti","Ejisu-Juaben Municipal","Achiase Health Centre","Health Centre","Achiase","Government",6.45543,-1.31004,48.45543,48.45543
"10","Ashanti","Mampong Municipal","Adidwan Health Centre","Health Centre","Adidwan","Government",7.25163,-1.40278,49.25163,49.25163
"11","Ashanti","Amansie West","Adimposo CHPS","CHPS","Adimposo","Government",6.33659,-1.92588,48.33659,48.33659
"12","Ashanti","Asante-Akim North Municipal","Adom Hospital","Hospital","Akratiebesa","Private",6.61879,-1.19202,48.61879,48.61879
"13","Ashanti","Ahafo-Ano South","Adom Maternity Home","Maternity Home","Adinyana","Private",6.88364,-1.87334,48.88364,48.88364
"14","Ashanti","Afigya-Kwabre","Adwumakase Kese Health Centre","Health Centre","Adwumakase Kese","Government",6.80813,-1.53933,48.80813,48.80813
